dataset,image_id,candidate_pixels,candidate_pixels_selected_k,candidate_target_leakage_pixels,candidate_far_bg_ratio,candidate_high_evidence_mean,candidate_ohem_overlap_fraction,target_dilate_pixels,far_bg_pixels
NUDT-SIRST,000129,655,655,0,1.0,4.5006931941316e-06,0.9264705882352942,355,65181
NUDT-SIRST,000947,654,654,0,1.0,7.878573342168238e-06,0.844851904090268,648,64888
NUDT-SIRST,000800,655,655,0,1.0,1.5891931752776145e-06,0.8219749652294854,662,64874
NUDT-SIRST,000154,654,654,0,1.0,2.07980565392063e-06,0.8685714285714285,663,64873
NUDT-SIRST,001168,655,655,0,1.0,1.2465827694541076e-06,0.9436201780415431,289,65247
NUDT-SIRST,000602,654,654,0,1.0,4.3020052544306964e-05,0.8793103448275862,576,64960
NUDT-SIRST,000210,654,654,0,1.0,5.052064352639718e-06,0.8370786516853933,790,64746
NUDT-SIRST,001284,654,654,0,1.0,7.025841568975011e-06,0.9551569506726457,504,65032
NUDT-SIRST,000534,655,655,0,1.0,5.938293270446593e-06,0.9350073855243722,355,65181
NUDT-SIRST,000814,655,655,0,1.0,8.501288562001719e-07,0.8450704225352113,708,64828
NUDT-SIRST,000846,654,654,0,1.0,1.5437926776940003e-06,0.8370786516853933,714,64822
NUDT-SIRST,001132,655,655,0,1.0,5.022749860472686e-07,0.9523099850968704,289,65247
NUDT-SIRST,000257,654,654,0,1.0,1.29407408167026e-05,0.9122807017543859,613,64923
NUDT-SIRST,000688,654,654,0,1.0,1.05911431091954e-05,0.8874458874458875,743,64793
NUDT-SIRST,001056,654,654,0,1.0,1.0327795280318242e-05,0.8685714285714285,716,64820
NUDT-SIRST,000430,654,654,0,1.0,5.78278923057951e-06,0.8766140602582496,1073,64463
NUDT-SIRST,000900,654,654,0,1.0,9.368360224470962e-06,0.8605974395448079,621,64915
NUDT-SIRST,000471,654,654,0,1.0,1.1671528227452654e-05,0.8901734104046243,715,64821
NUDT-SIRST,000833,655,655,0,1.0,1.789901034499053e-06,0.9152046783625731,342,65194
NUDT-SIRST,000171,655,655,0,1.0,2.7754800612456165e-05,0.9407407407407408,373,65163
