image_name,teacher_student_absdiff_all_pixels,teacher_student_absdiff_target,teacher_student_absdiff_target_boundary,teacher_student_absdiff_far_background,teacher_student_absdiff_ohem_negatives,teacher_student_absdiff_topk_far_evidence,teacher_student_absdiff_detached_fp_components,teacher_rank_disagreement_topk_far,teacher_lower_than_student_on_high_far_rate,teacher_preserves_target_rate,per_checkpoint_variance_topk_far,per_checkpoint_variance_target,topk_far_pixels,ohem_negative_pixels,detached_fp_pixels,target_pixels,informative_topk_far
000197,3.053513520263048e-05,0.013418647942931525,0.004944802511897419,5.5636792532859563e-08,8.858841893142097e-07,8.858841893142097e-07,nan,0.6300211416490487,0.7314814814814815,0.8928571428571429,2.8026274517453473e-12,0.002339930365286807,324,324,0,56,0
000198,1.428015515646566e-05,0.008097636933338695,0.0016581250929605783,2.369896654678803e-08,7.394996352775392e-07,7.394996352775392e-07,nan,0.6829268292682926,0.9320987654320988,0.9821428571428571,1.1247315525760572e-12,0.0007733569376095881,324,324,0,56,0
000199,9.699052198484984e-06,0.01424185856636281,0.00167399341946863,3.843649575854731e-08,1.8432314845995279e-06,1.8432314845995279e-06,nan,0.631578947368421,0.8707692307692307,0.8928571428571429,1.1592958938743457e-11,0.002054176172422143,325,325,0,28,0
000201,4.641238705930012e-05,0.033091742416908,0.003995799174580201,5.385760940162836e-08,3.919053778257943e-06,3.919053778257943e-06,nan,0.4571428571428572,0.9598765432098766,0.8793103448275862,4.348223040832544e-11,0.009995217889335562,324,324,0,58,0
000203,7.741029216143809e-05,0.057876532688608456,0.005621331463557593,2.799915583789888e-08,1.7015500165546404e-06,1.7015500165546404e-06,nan,0.40886699507389157,0.9256965944272446,0.7068965517241379,7.756987399151592e-12,0.033963158491062614,323,323,0,58,0
000204,2.8161154465939297e-05,0.023201189816199987,0.001525934950399867,5.1557440907675395e-08,1.4484397485639532e-06,1.4484397485639532e-06,nan,0.7562380038387716,0.9166666666666666,0.9,3.4510172031684818e-12,0.005795369856214126,324,324,0,60,0
000205,6.211329596678613e-05,0.037020515215893585,0.0068126568752757,4.923368813754518e-08,4.170221254781485e-06,4.170221254781485e-06,nan,0.4117647058823529,0.9629629629629629,0.8166666666666667,8.509724771134131e-11,0.01150837993208566,324,324,0,60,0
000206,4.32863585892502e-05,0.02493365852472683,0.004367175928602815,6.849996369983221e-08,7.30678819248566e-06,7.30678819248566e-06,nan,0.37279596977329976,0.9102167182662538,0.8833333333333333,4.987995503194919e-10,0.010432657012127752,323,323,0,60,0
000208,1.1143253512250436e-05,0.012008252992194273,0.0023173497809007106,1.242325130077477e-07,6.49530324083641e-06,6.49530324083641e-06,nan,0.6597938144329897,0.963076923076923,1.0,3.481531531451222e-11,0.00046979960640553345,325,325,0,31,0
000210,5.831172984484853e-05,0.028669946669270436,0.006804095032526686,4.234670863276914e-08,5.175361148785134e-06,5.175361148785134e-06,nan,0.37279596977329976,0.9071207430340558,0.8709677419354839,3.364199564057429e-11,0.0099042406645084,323,323,0,62,0
000211,6.506969681783329e-05,0.04006492794160881,0.005910380367633204,1.1215607230674746e-07,9.70231743266716e-06,9.70231743266716e-06,nan,0.29100529100529104,1.0,0.7903225806451613,5.668431065263008e-11,0.020281642612263746,323,323,0,62,0
