image_name,base_mIoU,final_mIoU,base_Pd,final_Pd,base_Precision,final_Precision,base_FA_ppm,final_FA_ppm,base_FP_components,final_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,lost_target_count,boundary_excess_pixels,eta,scale_var_target_mean,scale_var_new_fp_mean,scale_var_far_bg_mean
000496,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9041095890410958,0.9041095890410958,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0,0.0,0.03267485275864601,nan,1.8951522573473767e-09
000538,0.95,0.95,1.0,1.0,0.95,0.95,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.030569957569241524,nan,1.5009547703914738e-15
000009,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.12220516800880432,nan,4.955504000989661e-15
001294,0.98,0.98,1.0,1.0,0.98,0.98,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0,0.0,0.024553729221224785,nan,8.941215281187131e-13
000542,0.9512195121951219,0.9512195121951219,1.0,1.0,0.975,0.975,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.01986798457801342,nan,1.2585151155800403e-14
000127,0.6818181818181818,0.6818181818181818,1.0,1.0,0.7894736842105263,0.7894736842105263,122.0703125,122.0703125,0,0,0,0,0,0,0,0,0,0.0,0.08815062791109085,nan,2.868579566863306e-15
000192,0.7796610169491526,0.7796610169491526,1.0,1.0,0.9387755102040817,0.9387755102040817,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.06386738270521164,nan,5.329113547474472e-14
001237,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.381383966276189e-06,nan,2.0784454886346726e-12
000406,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.11594570428133011,nan,4.346793090807778e-15
001055,0.9298245614035088,0.9298245614035088,1.0,1.0,0.9636363636363636,0.9636363636363636,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0,0.0,0.0259022805839777,nan,1.653262729252585e-16
001251,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.022462327033281326,nan,1.7438395616409252e-08
001315,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.03759856894612312,nan,4.368765972492502e-15
000151,0.6530612244897959,0.6530612244897959,1.0,1.0,0.7804878048780488,0.7804878048780488,137.3291015625,137.3291015625,0,0,0,0,0,0,0,0,0,0.0,0.0761321410536766,nan,1.3321404743193987e-11
001180,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2171647548675537,nan,8.50786295827372e-17
001250,0.9764705882352941,0.9764705882352941,1.0,1.0,0.9764705882352941,0.9764705882352941,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0,0.0,0.0009806507732719183,nan,2.6805416068233223e-13
000901,0.898876404494382,0.898876404494382,1.0,1.0,0.9523809523809523,0.9523809523809523,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.013215412385761738,nan,3.656693749339544e-15
000816,0.6818181818181818,0.6818181818181818,1.0,1.0,0.7894736842105263,0.7894736842105263,122.0703125,122.0703125,0,0,0,0,0,0,0,0,0,0.0,0.1137135922908783,nan,1.041673243773907e-16
000273,0.9629629629629629,0.9629629629629629,1.0,1.0,0.9629629629629629,0.9629629629629629,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0,0.0,0.011239217594265938,nan,2.016526678847103e-15
000545,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0014178069541230798,nan,3.086798547482063e-15
000912,0.9074074074074074,0.9074074074074074,1.0,1.0,0.9423076923076923,0.9423076923076923,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.0176908727735281,nan,3.4141702594421564e-14
000583,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.02133885957300663,nan,1.1796343253340363e-13
000285,0.9295774647887324,0.9295774647887324,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.025702960789203644,nan,1.6634468181356602e-15
000678,0.45,0.45,0.5,0.5,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.027651790529489517,nan,7.754717075186997e-15
000992,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8928571428571429,0.8928571428571429,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.0198952779173851,nan,2.3956888989956626e-12
000386,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.12404410541057587,nan,2.1614857798578357e-15
000022,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0772528424859047,nan,1.4528994149201851e-15
000573,0.9558823529411765,0.9558823529411765,1.0,1.0,0.9558823529411765,0.9558823529411765,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.058731526136398315,nan,5.918954427064013e-15
001075,0.8717948717948718,0.8717948717948718,1.0,1.0,0.8717948717948718,0.8717948717948718,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0,0.0,0.08683963119983673,nan,2.7672177281037847e-16
000927,0.9285714285714286,0.9285714285714286,1.0,1.0,0.9512195121951219,0.9512195121951219,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.02508690021932125,nan,1.2708310423957536e-13
001304,0.8064516129032258,0.8064516129032258,1.0,1.0,0.8064516129032258,0.8064516129032258,91.552734375,91.552734375,0,0,0,0,0,0,0,0,0,0.0,0.026287676766514778,nan,1.0416036921867544e-08
000219,0.7162162162162162,0.7162162162162162,1.0,1.0,0.8688524590163934,0.8688524590163934,122.0703125,122.0703125,0,0,0,0,0,0,0,0,0,0.0,0.11214704066514969,nan,5.589634657909848e-12
001291,0.9661016949152542,0.9661016949152542,1.0,1.0,0.9827586206896551,0.9827586206896551,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.003430248238146305,nan,6.799287966419848e-14
000786,0.7142857142857143,0.7142857142857143,1.0,1.0,0.78125,0.78125,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0,0.0,0.16429586708545685,nan,1.6680780766538915e-14
000348,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1494065523147583,nan,2.436423357174162e-15
000861,0.8235294117647058,0.8235294117647058,1.0,1.0,0.8936170212765957,0.8936170212765957,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0,0.0,0.023000584915280342,nan,5.113707309163662e-16
000785,0.6,0.6,1.0,1.0,0.75,0.75,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0,0.0,0.07769087702035904,nan,1.2039423074477508e-14
000875,0.8269230769230769,0.8269230769230769,1.0,1.0,0.86,0.86,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0,0.0,0.011904574930667877,nan,8.494495037925098e-12
001191,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.20241956412792206,nan,1.7207213437323357e-14
000853,0.7551020408163265,0.7551020408163265,1.0,1.0,0.8604651162790697,0.8604651162790697,91.552734375,91.552734375,0,0,0,0,0,0,0,0,0,0.0,0.05932377651333809,nan,2.215352840138473e-15
001008,0.9090909090909091,0.9090909090909091,1.0,1.0,0.9090909090909091,0.9090909090909091,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.12858383357524872,nan,2.5616146150201106e-15
000817,0.7560975609756098,0.7560975609756098,1.0,1.0,0.8611111111111112,0.8611111111111112,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0,0.0,0.08788809925317764,nan,7.085348018069865e-15
000721,0.6857142857142857,0.6857142857142857,1.0,1.0,0.7741935483870968,0.7741935483870968,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0,0.0,0.039458245038986206,nan,6.824069714639336e-05
000807,0.7073170731707317,0.7073170731707317,1.0,1.0,0.8055555555555556,0.8055555555555556,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0,0.0,0.07242152839899063,nan,5.878859698989257e-16
000122,0.6136363636363636,0.6136363636363636,1.0,1.0,0.7714285714285715,0.7714285714285715,122.0703125,122.0703125,0,0,0,0,0,0,0,0,0,0.0,0.1087576225399971,nan,2.4914121008352006e-15
001083,0.9148936170212766,0.9148936170212766,1.0,1.0,0.9347826086956522,0.9347826086956522,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.14697855710983276,nan,2.2066148482545976e-15
000261,0.920863309352518,0.920863309352518,1.0,1.0,0.9922480620155039,0.9922480620155039,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.05672704800963402,nan,6.597585683580252e-16
000588,0.9830508474576272,0.9830508474576272,1.0,1.0,0.9830508474576272,0.9830508474576272,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.02026284486055374,nan,1.1768353219004934e-13
000587,0.8588235294117647,0.8588235294117647,1.0,1.0,0.9358974358974359,0.9358974358974359,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0,0.0,0.029723305255174637,nan,6.369957543346039e-15
000880,0.9454545454545454,0.9454545454545454,1.0,1.0,0.9811320754716981,0.9811320754716981,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0,0.0,0.00999442208558321,nan,1.1879291919315556e-15
001311,0.7894736842105263,0.7894736842105263,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0926719456911087,nan,8.663391054142267e-05
