image_id,bg_reconstruction_error,target_residual_mean,background_residual_mean,target_residual_bg_ratio,candidate_pixels,far_pixels,ohem_budget,candidate_to_budget_ratio,target_leakage_pixels,flat_candidate_ratio,residual_auroc_target_vs_far
000669,0.3665918707847595,3.021662950515747,0.3665918707847595,8.242580349769632,0,64782,647,0.0,0,0.0,0.988848876953125
000325,0.26147109270095825,1.8047162294387817,0.26147112250328064,6.90216270217809,0,64681,646,0.0,0,0.0,0.9894856770833333
000864,0.1874839812517166,0.724244236946106,0.1874839961528778,3.8629656493749165,4,64859,648,0.006172839506172839,0,0.5,0.9259670091711957
000174,0.28513196110725403,1.025252342224121,0.28513193130493164,3.5957121236192755,0,64816,648,0.0,0,0.0,0.9085591634114584
000347,0.1341792643070221,1.632186770439148,0.1341792792081833,12.164223716739153,0,65251,652,0.0,0,0.0,0.999365234375
000748,0.3534347116947174,2.432486057281494,0.35343465209007263,6.882420959282669,0,64801,648,0.0,0,0.0,0.9790248325892857
000946,0.33029788732528687,1.2867679595947266,0.3302978575229645,3.895780521389734,0,64854,648,0.0,0,0.0,0.9479385767227564
001274,0.26979804039001465,0.894042432308197,0.26979804039001465,3.313746945736845,0,64967,649,0.0,0,0.0,0.8973809603987069
001059,0.2157367318868637,1.1072767972946167,0.2157367318868637,5.132537179043265,0,64949,649,0.0,0,0.0,0.9524755859375
000253,0.13059107959270477,0.9489710330963135,0.13059107959270477,7.266737024121562,0,64964,649,0.0,0,0.0,0.9830699573863636
000679,0.4022063612937927,1.341602087020874,0.40220633149147034,3.3356065829344748,0,64852,648,0.0,0,0.0,0.820941162109375
001041,0.3191872537136078,1.2947009801864624,0.3191872537136078,4.056242738778469,0,64909,649,0.0,0,0.0,0.9447801933913934
000999,0.33926132321357727,2.0239007472991943,0.33926132321357727,5.965610014511072,0,64875,648,0.0,0,0.0,0.9857528895547946
000794,0.1476002186536789,0.7713199853897095,0.1476002186536789,5.225737417093485,0,65213,652,0.0,0,0.0,0.930712890625
000576,0.33635246753692627,2.763302803039551,0.3363524377346039,8.215498069973592,0,65001,650,0.0,0,0.0,0.9942310474537037
001094,0.3153708279132843,1.3251445293426514,0.3153708577156067,4.2018610690326765,0,64859,648,0.0,0,0.0,0.9821481415719697
000635,0.4782332181930542,1.4683692455291748,0.4782331585884094,3.070404507005179,0,64890,648,0.0,0,0.0,0.8904157366071429
000825,0.0826958641409874,1.1559284925460815,0.0826958641409874,13.978068970599908,0,65181,651,0.0,0,0.0,0.9874588815789473
