image_name,target_components,ohem_mIoU,candidate_mIoU,per_image_delta_mIoU,ohem_Pd,candidate_Pd,per_image_delta_Pd,ohem_Precision,candidate_Precision,per_image_delta_precision,ohem_FA_ppm,candidate_FA_ppm,per_image_delta_FA,ohem_FP_components,candidate_FP_components,delta_FP_components,target_lost_count,target_gained_count,target_shrink_pixels,target_over_suppressed_pixels,removed_far_fp_pixels,new_fp_components,removed_fp_components,retained_fp_components,ohem_boundary_excess_pixels,candidate_boundary_excess_pixels,boundary_excess_delta,ohem_far_fp_pixels,candidate_far_fp_pixels,far_fp_delta,ohem_detached_near_fp_pixels,candidate_detached_near_fp_pixels,detached_near_fp_delta,target_prob_ohem,target_prob_candidate,target_prob_delta,far_bg_prob_ohem,far_bg_prob_candidate,far_bg_prob_delta
000792,2,0.7647058823529411,0.47368421052631576,-0.29102167182662536,1.0,1.0,0.0,0.8666666666666667,0.6923076923076923,-0.1743589743589744,61.03515625,122.0703125,61.03515625,0,0,0,0,0,8,9,0,0,0,2,4,8,4,0,0,0,0,0,0,0.8517541289329529,0.6437164545059204,-0.20803767442703247,8.015869923383434e-08,6.341443370416755e-09,-7.381725453114996e-08
000853,2,0.7551020408163265,0.46551724137931033,-0.28958479943701615,1.0,1.0,0.0,0.8604651162790697,0.6428571428571429,-0.21760797342192684,91.552734375,228.8818359375,137.3291015625,0,0,0,0,0,10,13,0,0,0,2,6,15,9,0,0,0,0,0,0,0.8770255446434021,0.678483247756958,-0.1985422968864441,8.923481686906598e-08,7.853333272578311e-08,-1.0701484143282869e-08
000845,2,0.8043478260869565,0.5178571428571429,-0.28649068322981364,1.0,1.0,0.0,0.8809523809523809,0.6590909090909091,-0.22186147186147187,76.2939453125,228.8818359375,152.587890625,0,0,0,0,0,8,9,0,0,0,2,5,15,10,0,0,0,0,0,0,0.8922103047370911,0.7293282151222229,-0.16288208961486816,7.698179160797736e-08,1.3737650128575751e-08,-6.324414414393686e-08
000194,2,0.8620689655172413,0.5774647887323944,-0.28460417678484695,1.0,1.0,0.0,0.9615384615384616,0.7321428571428571,-0.22939560439560447,30.517578125,228.8818359375,198.3642578125,0,0,0,0,0,9,10,0,1,0,1,2,15,13,0,0,0,0,0,0,0.8931931257247925,0.7632357478141785,-0.129957377910614,1.6605136465841497e-07,4.193262626017713e-08,-1.2411874195095152e-07
000713,2,0.8448275862068966,0.5652173913043478,-0.2796101949025488,1.0,1.0,0.0,0.9245283018867925,0.7222222222222222,-0.20230607966457026,61.03515625,228.8818359375,167.8466796875,0,0,0,0,0,11,12,0,0,0,2,4,15,11,0,0,0,0,0,0,0.8990936279296875,0.7431429624557495,-0.155950665473938,8.756731517678418e-08,1.3719065350414894e-07,4.962333832736476e-08
000648,2,0.7567567567567568,0.4782608695652174,-0.2784958871915394,1.0,1.0,0.0,0.9032258064516129,0.6470588235294118,-0.2561669829222011,45.7763671875,183.10546875,137.3291015625,0,0,0,0,0,6,7,0,1,0,1,3,12,9,0,0,0,0,0,0,0.8228936791419983,0.6763696670532227,-0.14652401208877563,7.939187440797468e-08,8.689233510494887e-08,7.500460696974187e-09
000801,2,0.7,0.4222222222222222,-0.27777777777777773,1.0,1.0,0.0,0.7777777777777778,0.59375,-0.1840277777777778,122.0703125,198.3642578125,76.2939453125,0,0,0,0,0,9,11,0,0,0,2,8,13,5,0,0,0,0,0,0,0.8609038591384888,0.6209235787391663,-0.2399802803993225,1.391223776181505e-07,2.0588652560604714e-08,-1.1853372683390262e-07
000673,1,0.5,0.22641509433962265,-0.27358490566037735,1.0,1.0,0.0,0.75,0.26666666666666666,-0.48333333333333334,61.03515625,503.5400390625,442.5048828125,0,4,4,0,0,0,1,0,4,0,1,4,4,0,0,29,29,0,0,0,0.6058672070503235,0.6033170223236084,-0.002550184726715088,1.349025524177705e-06,0.0005352716543711722,0.0005339226336218417
000831,2,0.75,0.4807692307692308,-0.2692307692307692,1.0,1.0,0.0,0.868421052631579,0.6578947368421053,-0.21052631578947367,76.2939453125,198.3642578125,122.0703125,0,0,0,0,0,8,9,0,0,0,2,5,13,8,0,0,0,0,0,0,0.8276182413101196,0.6686314344406128,-0.15898680686950684,1.5057298696774524e-07,2.5805684256141603e-09,-1.47992423649157e-07
000812,2,0.7045454545454546,0.4375,-0.2670454545454546,1.0,1.0,0.0,0.775,0.6176470588235294,-0.15735294117647058,137.3291015625,198.3642578125,61.03515625,0,0,0,0,0,11,12,0,0,0,2,9,13,4,0,0,0,0,0,0,0.8925372958183289,0.6491770148277283,-0.24336028099060059,6.049210554692763e-08,1.6373863376273334e-09,-5.885472020850102e-08
