image_name,candidate_pixels,target_leakage_pixels,target_protect_pixels,boundary_protect_pixels,ohem_negative_pixels,ohem_overlap_pixels,ohem_overlap_fraction,far_hard_logit_mean,far_hard_prob_mean
001056,322,0,74,234,654,322,1.0,-11.112039566040039,1.713517849566415e-05
000430,320,0,112,321,654,320,1.0,-11.829005241394043,9.151671292784158e-06
000900,323,0,55,203,654,323,1.0,-11.291101455688477,1.6817706637084484e-05
000471,322,0,83,239,654,322,1.0,-11.31673812866211,1.9869172319886275e-05
000833,325,0,20,90,655,285,0.8769230769230769,-13.029309272766113,2.6180468921666034e-06
000171,324,0,23,102,655,324,1.0,-10.225069999694824,4.4003973016515374e-05
000567,323,0,55,181,654,323,1.0,-9.523404121398926,0.0001904471282614395
001043,323,0,63,217,654,323,1.0,-11.769708633422852,1.0360658961872105e-05
000798,322,0,28,170,655,322,1.0,-13.653878211975098,1.5022438901723945e-06
001085,323,0,50,182,654,323,1.0,-10.61457633972168,4.2368770664324984e-05
000895,323,0,45,179,654,323,1.0,-12.210057258605957,6.738088359270478e-06
001121,323,0,18,144,655,323,1.0,-13.725920677185059,1.2625177987501957e-06
000979,323,0,51,196,654,323,1.0,-10.036317825317383,6.936068530194461e-05
000363,325,0,5,72,655,318,0.9784615384615385,-12.601273536682129,6.301970643107779e-06
000311,323,0,52,183,654,323,1.0,-12.142742156982422,8.254938620666508e-06
000229,321,0,72,228,654,321,1.0,-11.393719673156738,1.2758689081238117e-05
000234,323,0,58,167,654,323,1.0,-11.295357704162598,1.8546894352766685e-05
001073,322,0,86,262,654,322,1.0,-11.193367004394531,1.623869320610538e-05
000716,322,0,54,210,654,322,1.0,-10.768274307250977,2.7055404643760994e-05
001005,323,0,38,190,654,323,1.0,-12.764941215515137,3.1302486149797915e-06
001119,325,0,9,72,655,318,0.9784615384615385,-12.827953338623047,3.49428114532202e-06
001327,324,0,33,132,655,324,1.0,-11.287628173828125,2.475195287843235e-05
000754,325,0,13,90,655,325,1.0,-11.752662658691406,9.115291504713241e-06
000245,323,0,65,192,654,323,1.0,-11.94157886505127,8.326900569954887e-06
000780,325,0,14,90,655,257,0.7907692307692308,-14.242443084716797,7.237916861413396e-07
000277,322,0,98,233,654,322,1.0,-11.204821586608887,1.6222060366999358e-05
001052,323,0,61,199,654,323,1.0,-10.178512573242188,5.860074088559486e-05
000856,325,0,22,96,655,325,1.0,-10.346433639526367,4.106968845007941e-05
000871,322,0,76,246,654,322,1.0,-11.876715660095215,8.607331437815446e-06
000531,325,0,20,90,655,325,1.0,-10.745457649230957,3.734259007615037e-05
000472,323,0,71,194,654,323,1.0,-9.874995231628418,0.00014199512952473015
000083,325,0,9,72,655,319,0.9815384615384616,-13.668978691101074,1.8809251969287288e-06
000274,324,0,71,194,654,324,1.0,-10.640581130981445,2.9968448870931752e-05
000147,322,0,40,180,654,322,1.0,-12.324210166931152,5.685243650077609e-06
000096,322,0,30,174,655,322,1.0,-11.580499649047852,1.7806105461204425e-05
000152,322,0,40,180,654,322,1.0,-11.265274047851562,1.8300155716133304e-05
001158,321,0,27,216,655,240,0.7476635514018691,-13.9967622756958,1.1357308267179178e-06
000453,319,0,125,353,654,319,1.0,-10.08123779296875,7.313647074624896e-05
000057,325,0,9,72,655,106,0.3261538461538461,-14.805392265319824,6.358587825161521e-07
000411,325,0,14,90,655,325,1.0,-11.550725936889648,1.2572837476909626e-05
000388,325,0,5,72,655,325,1.0,-13.022366523742676,4.802660896530142e-06
000082,325,0,9,72,655,230,0.7076923076923077,-13.481819152832031,6.141059202491306e-06
000655,322,0,36,192,655,322,1.0,-11.72429084777832,1.242443613591604e-05
000962,323,0,51,189,654,323,1.0,-12.071650505065918,7.1895447035785764e-06
001086,324,0,60,205,654,324,1.0,-9.779265403747559,9.292783215641975e-05
000539,325,0,21,96,655,325,1.0,-10.604341506958008,3.338395254104398e-05
